2026-03-20T12:13:24,120,2,0,1
2026-03-20T12:23:03,600,3,0,1
2026-03-20T10:03:26Z,150,3,0,1
2026-03-20T10:22:11Z,90,1,0,0
2026-03-20T10:42:30Z,180,2,0,0
2026-03-20T11:00:57Z,30,0,0,0
2026-03-20T11:20:54Z,20,0,0,0
2026-03-20T11:40:37Z,15,0,0,0
2026-03-20T12:00:55Z,20,0,0,0
2026-03-20T12:20:35Z,15,0,0,0
2026-03-20T12:40:33Z,10,0,0,0
2026-03-20T13:00:33Z,10,0,0,0
2026-03-20T13:20:37Z,10,0,0,0
2026-03-20T13:40:35Z,10,0,0,0
2026-03-20T14:00:34Z,10,0,0,0
2026-03-20T14:20:39Z,10,0,0,0
2026-03-20T14:40:33Z,10,0,0,0
2026-03-20T15:00:39Z,10,0,0,0
2026-03-20T15:20:35Z,10,0,0,0
2026-03-20T15:40:40Z,10,0,0,0
2026-03-20T16:00:46Z,10,0,0,0
2026-03-20T16:20:31Z,10,0,0,0
2026-03-20T16:40:29Z,10,0,0,0
2026-03-20T17:00:32Z,10,0,0,0
2026-03-20T17:21:43Z,60,1,0,0
2026-03-20T17:40:31Z,10,0,0,0
2026-03-20T18:00:30Z,10,0,0,0
2026-03-20T18:20:31Z,10,0,0,0
2026-03-20T18:40:30Z,10,0,0,0
2026-03-20T19:00:29Z,10,0,0,0
2026-03-20T19:20:30Z,10,0,0,0
2026-03-20T19:40:30Z,10,0,0,0
2026-03-20T20:00:30Z,10,0,0,0
2026-03-20T20:20:31Z,10,0,0,0
2026-03-20T20:40:34Z,10,0,0,0
2026-03-20T21:00:48Z,10,0,0,0
2026-03-20T21:20:34Z,10,0,0,0
2026-03-20T21:40:50Z,10,0,0,0
2026-03-20T22:00:40Z,10,0,0,0
2026-03-20T22:20:46Z,10,0,0,0
2026-03-22T13:50:00Z,60,1,0,0
2026-03-22T14:10:00Z,30,0,0,0
2026-03-22T14:30:00Z,20,0,0,0
2026-03-22T15:01:28Z,15,0,0,0
2026-03-22T15:22:15Z,90,1,0,0
2026-03-22T15:41:17Z,15,0,0,0
2026-03-22T16:01:11Z,10,0,0,0
2026-03-22T16:21:05Z,10,0,0,0
2026-03-22T16:41:13Z,10,0,0,0
2026-03-22T17:01:44Z,60,1,0,0
2026-03-22T17:20:50Z,10,0,0,0
2026-03-22T17:40:49Z,10,0,0,0
2026-03-22T18:01:13Z,10,0,0,0
2026-03-22T18:21:01Z,10,0,0,0
2026-03-22T18:41:23Z,30,1,0,0
2026-03-22T19:00:49Z,10,0,0,0
2026-03-22T19:21:07Z,10,0,0,0
2026-03-22T19:41:03Z,10,0,0,0
2026-03-22T20:01:03Z,10,0,0,0
2026-03-22T20:21:35Z,30,1,0,0
